Bigram,Original_Count,Generated_Count
'e ',27643,157
' t',23837,119
'th',22739,120
'he',18203,108
't ',16508,82
's ',15364,70
'd ',14165,86
"', '",14098,49
' a',13541,82
'ou',12730,51
' s',12287,84
' h',11925,71
'er',11771,60
' m',10786,67
'in',10606,37
' w',10546,62
'r ',10516,60
'y ',10283,60
'an',10197,58
're',9843,41
'ha',9673,53
'nd',9306,67
':\n',8762,39
'n ',8737,36
' b',8463,39
'or',8458,41
'at',8339,40
'o ',8134,65
'en',7568,38
'is',7526,35
