Sequence_Length,Validation_Loss,Validation_Accuracy,Perplexity,Training_Samples
50,2.2300493717193604,0.3600720167160034,9.30032524119646,44991
100,2.2344114780426025,0.3577430844306946,9.340982860699537,44982
200,2.2286617755889893,0.3656925559043884,9.287429095270884,44964
