epoch,accuracy,loss,val_accuracy,val_loss
0,0.3767409324645996,2.192854881286621,0.45654571056365967,1.8571302890777588
1,0.48072853684425354,1.7617480754852295,0.4931812584400177,1.712702751159668
2,0.5135360360145569,1.6318720579147339,0.5144309401512146,1.6512022018432617
3,0.5314416289329529,1.5607428550720215,0.5214783549308777,1.6177393198013306
4,0.5439944267272949,1.5124326944351196,0.5269117951393127,1.6052141189575195
5,0.5523061156272888,1.4775086641311646,0.534927487373352,1.576255440711975
6,0.5593177080154419,1.4503061771392822,0.539984405040741,1.5633879899978638
7,0.563971221446991,1.4289430379867554,0.5414100289344788,1.5689939260482788
8,0.5689952969551086,1.4106876850128174,0.5425935387611389,1.556514859199524
9,0.5735232830047607,1.395813226699829,0.5445033311843872,1.5543787479400635
10,0.5775341391563416,1.3792190551757812,0.5472200512886047,1.5550042390823364
11,0.5787625312805176,1.3686950206756592,0.5475428104400635,1.559590220451355
12,0.5813478231430054,1.3585519790649414,0.5499637126922607,1.55136239528656
13,0.5842110514640808,1.3507962226867676,0.5475428104400635,1.5551937818527222
14,0.5865033864974976,1.3408887386322021,0.5484842658042908,1.5536632537841797
15,0.5875673890113831,1.3329514265060425,0.5485649704933167,1.5591177940368652
16,0.5959000587463379,1.2988797426223755,0.5521693229675293,1.5492494106292725
17,0.6019492745399475,1.280382513999939,0.5516313910484314,1.5530058145523071
18,0.603856086730957,1.2697323560714722,0.5526535511016846,1.5494182109832764
19,0.605984091758728,1.2614911794662476,0.5518196821212769,1.5584214925765991
20,0.6125563383102417,1.241387128829956,0.5533260107040405,1.555824875831604
21,0.6144571900367737,1.231432318687439,0.5543749928474426,1.5619038343429565
22,0.6157333850860596,1.22401762008667,0.5544556975364685,1.5604301691055298
23,0.6181632280349731,1.216102957725525,0.5566882491111755,1.562855839729309
24,0.6209726333618164,1.2079578638076782,0.555746853351593,1.565597414970398
